cross_tracer_q_peak_cv,phi_chi2,phi_dof,phi_excess,primary_score,q_frac_residual,q_peak_residual,q_shell_occupancy,scan_offset
0.02435539241570564,0.0,0,0.0,6.153487365680156,17.43610670462476,165.12773508061616,0.0,-14.0
0.025202662393271007,0.0,0,0.0,5.521005575441651,15.537814063931684,147.15005407716674,0.0,-13.3
0.027596607006454298,0.0,0,0.0,4.918694894927671,13.728488077776557,130.01492711461768,0.0,-12.6
0.028952516849953504,0.0,0,0.0,4.358376751488149,12.046177737614492,114.08269517318433,0.0,-11.9
0.031600729760595095,0.0,0,0.0,3.8273185538505694,10.450354931791114,98.9695388946836,0.0,-11.2
0.03365848358592771,0.0,0,0.0,3.332448737301641,8.963687728318995,84.8901350296642,0.0,-10.5
0.03656137014032687,0.0,0,0.0,2.8728208177311765,7.581901083053203,71.80399699651814,0.0,-9.8
0.04034991834775526,0.0,0,0.0,2.444796586598107,6.294040908396305,59.607384682530984,1.066949738131736e-06,-9.100000000000001
0.043313746904488325,0.0,0,0.0,2.0570504395754177,5.127841762784288,48.56295677037648,4.19096252279709e-06,-8.4
0.04886524910876666,257.19159382888006,11,22.381053984443643,1.699325930383088,4.049201211386102,38.34774793759005,8.866934560373702e-05,-7.7
0.05493153600373552,1454.0898051177212,11,131.1899822834292,1.3769445338634851,3.076796721790372,29.138642162470223,0.0008946562036512579,-7.0
0.06513322927298842,4320.225308278288,11,391.7477552980262,1.08834382121105,2.205807940907343,20.889988543615413,0.005909706547180908,-6.300000000000001
0.08021307772071835,3935.8832349340755,14,280.1345167810054,0.8326464923816262,1.4406826066829383,13.643909150228588,0.0229562072587781,-5.600000000000001
0.08989531576439473,7487.472395187826,15,498.16482634585503,0.5976298862757139,0.7895232479167446,7.477138556820363,0.08652890485399746,-4.9
0.10161152404456612,25534.88609954845,19,1342.9413736604447,0.3703128911088132,0.24711566388532274,2.3402959486077735,0.2377885146034492,-4.200000000000001
0.118600202685504,5641.52569217582,51,109.61815082697686,0.2696070509144961,0.19507272429131006,1.8474260156761728,0.5048517742333257,-3.5
0.10506598336445613,9604.618543926957,51,187.32585380248938,0.14719224649409735,0.11516989266094854,1.0907104347747445,0.7786591365431127,-2.8000000000000007
0.11017952149840389,5250.648035506507,51,101.9538830491472,0.19455526024766057,0.19714794097589847,1.8670792465684052,0.7236616817313207,-2.1000000000000014
0.43351317142773965,3206.5925529817596,51,61.87436378395607,0.4112000289560615,0.3441084010328764,3.2588605843814773,0.5440214855924316,-1.4000000000000004
0.5154601436160648,2248.758279226705,50,43.975165584534096,0.563508280363087,0.40930823478570605,3.8763321941635973,0.23424353731250994,-0.7000000000000011
0.8284711159317347,469.15486121793083,50,8.383097224358616,0.7638150969406731,0.6047796164985333,5.727533674064863,0.14180544160824857,0.0
0.80533860719431,2235.8728907466875,49,44.63005899483036,0.843016800508626,0.8936001819586569,8.46279370814593,0.16988838762708877,0.6999999999999993
0.359023386302212,5010.676137909692,49,101.25869669203453,0.5538536412595491,0.6268177630269416,5.936244786198948,0.32428022555050673,1.3999999999999986
0.2681509886366554,19558.374713822875,50,390.1674942764575,0.32806785512837866,0.2943818214569297,2.7879276176484766,0.578329244708449,2.099999999999998
0.13664239884262264,11982.498944922329,51,233.95095970435938,0.1607099438464963,0.15276042838583773,1.4467096340152221,0.8072729956889714,2.799999999999997
0.08963530959910962,5091.241571418021,51,98.8282661062357,0.14923204166058868,0.07968146943676703,0.7546191818440035,0.7216206540541106,3.5
0.09984347901617303,9244.13566074587,23,400.91894177155956,0.3284160028810122,0.35673853251369025,3.3784735828867,0.4713340028868267,4.199999999999999
0.0874543237091069,22437.283651704147,17,1318.8402148061264,0.6230074033862948,0.9259836804961329,8.769479934496077,0.1444157940463556,4.899999999999999
0.07121800226313896,3171.0434438611715,17,185.53196728595125,0.8993906729972251,1.6628350888714918,15.747792594380876,0.03588107214295567,5.599999999999998
0.062287710003007375,6016.335352342493,10,600.6335352342493,1.1636731273882313,2.438882677304274,23.097310624038823,0.010151005142587521,6.299999999999997
0.05534898091822632,1967.0902399284548,8,244.88627999105685,1.4602109079654015,3.32680752491088,31.506356375530487,0.001523781932901996,7.0
0.05082195768838253,299.7725843596342,7,41.82465490851917,1.7882778041520062,4.314160460365968,40.857030624022656,0.00014900559833181336,7.699999999999999
0.04629767165855511,28.317235648454755,5,4.663447129690951,2.151591557559372,5.408485434400653,51.22077795969202,8.433381093134917e-06,8.399999999999999
0.04271202803421749,0.0,0,0.0,2.548407306211988,6.602513016617397,62.528753622799115,3.126015650896232e-06,9.099999999999998
0.039540882588913334,0.0,0,0.0,2.9812571553304017,7.904230798107611,74.85660367631078,2.147053189466366e-07,9.799999999999997
0.03721529813685248,0.0,0,0.0,3.4485432649138534,9.308414496604708,88.15485182871784,0.0,10.5
0.03458091045216149,0.0,0,0.0,3.9503091499533713,10.816346539407952,102.43564324057247,0.0,11.2
0.032944869477136034,0.0,0,0.0,4.485437011519974,12.423366165082788,117.65483841488282,0.0,11.899999999999999
0.03065294210024066,0.0,0,0.0,5.058586298129687,14.145105952288821,133.96048486886468,0.0,12.599999999999998
0.029210765089518805,0.0,0,0.0,5.664967119144385,15.965690592343632,151.20223632333764,0.0,13.299999999999997
0.027518460645575005,0.0,0,0.0,6.304743781629622,17.88671288424329,169.39517729774835,0.0,14.0
