family,metric,name,value
tracer_q_shell,retained_count,LRG,2831821
tracer_q_shell,q_min,LRG,0.006512160803328726
tracer_q_shell,q_max,LRG,83.55451052260003
tracer_q_shell,q_shell_count,LRG,2804908
tracer_q_shell,q_shell_fraction,LRG,0.9904962213360237
tracer_q_shell,q_residual_median,LRG,0.015123063575851248
tracer_q_shell,q_residual_rms,LRG,2.9880488227253563
tracer_q_shell,retained_count,ELG,3436588
tracer_q_shell,q_min,ELG,0.004159372965073516
tracer_q_shell,q_max,ELG,83.81182491794786
tracer_q_shell,q_shell_count,ELG,2772981
tracer_q_shell,q_shell_fraction,ELG,0.8068994595802581
tracer_q_shell,q_residual_median,ELG,1.9768157069747483
tracer_q_shell,q_residual_rms,ELG,4.689763567164293
tracer_q_shell,retained_count,QSO,2279719
tracer_q_shell,q_min,QSO,0.0010850583848416306
tracer_q_shell,q_max,QSO,70.70884690339449
tracer_q_shell,q_shell_count,QSO,1227815
tracer_q_shell,q_shell_fraction,QSO,0.5385817287130563
tracer_q_shell,q_residual_median,QSO,2.402241495852408
tracer_q_shell,q_residual_rms,QSO,8.81046173898321
null,primary_score_tail_count,random_axis,187
null,q_peak_residual_tail_count,random_axis,138
null,q_frac_residual_tail_count,random_axis,138
null,q_shell_occupancy_tail_count,random_axis,179
null,cross_tracer_q_peak_cv_tail_count,random_axis,166
null,phi_excess_tail_count,random_axis,0
null,primary_score_tail_count,scrambled_redshift,74
null,q_peak_residual_tail_count,scrambled_redshift,52
null,q_frac_residual_tail_count,scrambled_redshift,52
null,q_shell_occupancy_tail_count,scrambled_redshift,184
null,cross_tracer_q_peak_cv_tail_count,scrambled_redshift,68
null,phi_excess_tail_count,scrambled_redshift,0
null,primary_score_tail_count,footprint_random,46
null,q_peak_residual_tail_count,footprint_random,3
null,q_frac_residual_tail_count,footprint_random,3
null,q_shell_occupancy_tail_count,footprint_random,200
null,cross_tracer_q_peak_cv_tail_count,footprint_random,39
null,phi_excess_tail_count,footprint_random,0
